url,WeekID,Week Position,Song_caller,Performer_caller,SongID_caller,Instance,Previous Week Position,Peak Position,Weeks on Chart,spotify_genre,spotify_track_id,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
http://www.billboard.com/charts/hot-100/2017-08-12,8/12/2017,92,Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul","Subeme La RadioEnrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",4,95,92,8,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6fIjnWrv46njJHLDAY2JdC,Victory Lap,TRUE,245813,69,0.512,0.734,8,-5.448,0,0.438,0.431,0,0.226,0.168,93.995,4
https://www.billboard.com/charts/hot-100/2018-01-27,1/27/2018,94,Broken Halos,Chris Stapleton,Broken HalosChris Stapleton,4,91,91,8,"['alternative r&b', 'pop']",6PYnUsNEpYC7A4BS2sjw3L,Right Back (feat. A Boogie Wit Da Hoodie),FALSE,254999,79,0.786,0.428,5,-10.011,0,0.31,0.0933,1.10E-06,0.156,0.556,97.001,4
http://www.billboard.com/charts/hot-100/2017-04-22,4/22/2017,66,Black,Dierks Bentley,BlackDierks Bentley,4,87,66,9,"['deep smooth jazz', 'smooth jazz']",3LKalvoWN4x2nfuWHNtAgj,Go Crazy! Hard To Find Jukebox Hits,FALSE,119466,3,0.583,0.287,8,-13.285,1,0.0442,0.742,0,0.106,0.582,128.898,4
http://www.billboard.com/charts/hot-100/2017-05-20,5/20/2017,81,Scared To Be Lonely,Martin Garrix & Dua Lipa,Scared To Be LonelyMartin Garrix & Dua Lipa,4,83,80,9,['deep adult standards'],0EvtiiZV14kwGELGlw9vyw,The Anita Bryant Collection 1958-62,FALSE,153386,3,0.192,0.236,0,-13.347,1,0.0329,0.813,0,0.41,0.232,66.291,4
http://www.billboard.com/charts/hot-100/2013-09-14,9/14/2013,82,Red,Taylor Swift,RedTaylor Swift,4,86,82,9,[],047IhhKdf18s8dD1VYXrLE,Boom Boom Baby,FALSE,124986,1,0.551,0.734,7,-9.39,1,0.135,0.773,7.23E-05,0.271,0.801,87.468,4
http://www.billboard.com/charts/hot-100/2015-01-31,1/31/2015,84,Dear Future Husband,Meghan Trainor,Dear Future HusbandMeghan Trainor,4,95,64,9,"['dixieland', 'jazz clarinet', 'new orleans jazz']",0crCWOYbMWjlC4pnbMqSyV,New Orleans Jazz Collection - French Quarter Favorites,FALSE,375560,31,0.544,0.246,9,-15.127,0,0.0406,0.824,0.863,0.32,0.193,96.118,4
https://www.billboard.com/charts/hot-100/2018-02-03,2/3/2018,85,Broken Halos,Chris Stapleton,Broken HalosChris Stapleton,4,94,85,9,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",4YmJXCXCkLorPkYiSPFUN3,Put Your Head On My Shoulder: The Very Best Of Paul Anka,FALSE,131293,34,0.338,0.681,9,-8.886,0,0.0459,0.663,0,0.406,0.769,201.75,4
http://www.billboard.com/charts/hot-100/2017-04-29,4/29/2017,61,Black,Dierks Bentley,BlackDierks Bentley,4,66,61,10,[],4fNOGDefPWPJsze4D66t6p,The Lawrence Welk Collection: Lawrence Welk & His Champagne Music 1938-62,FALSE,122600,7,0.365,0.796,0,-5.441,1,0.0352,0.304,0.936,0.0562,0.954,80.468,4
http://www.billboard.com/charts/hot-100/2017-05-27,5/27/2017,76,Scared To Be Lonely,Martin Garrix & Dua Lipa,Scared To Be LonelyMartin Garrix & Dua Lipa,4,81,76,10,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",0jjPYKq66QDiu9Ydl3Gumq,The Golden Hits Of The Everly Brothers,FALSE,131733,35,0.29,0.568,2,-10.299,1,0.0385,0.412,6.35E-06,0.596,0.532,138.893,4
http://www.billboard.com/charts/hot-100/2013-09-21,9/21/2013,76,Red,Taylor Swift,RedTaylor Swift,4,82,76,10,['cowboy western'],4ZI24J7OFz908Ct3MJwumx,Meet Claude King,FALSE,147133,13,0.579,0.423,3,-10.761,1,0.0355,0.816,0,0.0859,0.815,150.772,4
https://www.billboard.com/charts/hot-100/2019-12-14,12/14/2019,18,A Holly Jolly Christmas,Burl Ives,A Holly Jolly ChristmasBurl Ives,4,48,18,11,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",1qUP5ytslcPEjSloZ7xbnY,The Electrifying Aretha Franklin (Expanded Edition),FALSE,165440,20,0.709,0.695,0,-8.652,1,0.235,0.794,2.98E-06,0.258,0.785,80.957,4
http://www.billboard.com/charts/hot-100/2013-09-28,9/28/2013,76,Red,Taylor Swift,RedTaylor Swift,4,76,76,11,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']",0WVTQp3SOCuMr08jh1jweV,The Man Who Invented Soul,FALSE,162533,69,0.523,0.402,0,-8.233,1,0.0305,0.778,0,0.432,0.675,70.863,4
http://www.billboard.com/charts/hot-100/2017-06-03,6/3/2017,77,Scared To Be Lonely,Martin Garrix & Dua Lipa,Scared To Be LonelyMartin Garrix & Dua Lipa,4,76,76,11,"['arkansas country', 'outlaw country']",2HR7vkmbt2jrNdYbi7Hh5d,Ring Of Fire: The Best Of Johnny Cash,FALSE,140306,32,0.548,0.492,3,-10.72,1,0.0287,0.898,0.0393,0.152,0.802,102.62,4
https://www.billboard.com/charts/hot-100/2018-02-24,2/24/2018,59,Broken Halos,Chris Stapleton,Broken HalosChris Stapleton,4,59,59,12,[],6Yfj6lzy8D2ycCfPqIbS0I,Birdlegs,FALSE,172160,10,0.637,0.454,7,-12.275,1,0.0418,0.628,0.000299,0.125,0.762,95.338,4
http://www.billboard.com/charts/hot-100/2013-10-05,10/5/2013,76,Red,Taylor Swift,RedTaylor Swift,4,76,76,12,[],6IzatacJcPxK6rUY21eYMA,Surfin' With The Astronauts,FALSE,146146,22,0.407,0.794,6,-11.547,0,0.0402,0.00205,0.119,0.0763,0.584,155.153,4
